,id_nbr,discord_name,nickname
0,447266583459528715,World Time#4957,
1,721723492050927676,Waligmaj#5684,Tall Matt
2,163103684455038977,aromatt#4363,andrew
3,934859267859689583,Crossword_Bot#6540,
4,692110192338272256,corban#8923,
5,700181256503296090,robin123456789#0144,
6,929646986125250601,Boardle#2794,
7,711872024326176780,scratchysaurus#2728,
8,755898468492378292,Zman1287#8716,
9,244563940242096138,CarolKarine#7609,Jeremy M
10,124366764493504512,NinnyMugginz#1836,
11,298673420181438465,Poll Bot#0082,
12,322101734103056394,landon#9239,
13,163849350827606016,acowinthecrowd#0649,
14,320446653905764362,Raidbots#2477,
15,178958369955119104,Hejo#3814,Big Jon
16,320002960719609856,Bolger#7703,The Real Mayor
17,554751047030013953,Wikipedia#0936,
18,689132644004265986,chad_yolo#8661,
19,886260099901980712,Mark Brack#4435,
20,126150722516549632,csumsky#3475,Greeksalad
21,713016704648872000,Emoji Statistics#2163,
22,768635895464460348,Whitewolfe5#2015,
23,687701357360185568,Mickey#9573,
24,930629256285945876,ButtToucher#4767,
25,276970900740505600,groz#9790,Real Greg
26,572301609305112596,Dice Maiden#9678,
27,163822913848475649,croasus#9792,
28,295625082057785344,aris#9324,
29,709053682376769597,lhenson#9774,Lanye’
30,690733406476042240,NJD57#4206,Nick FUNleavey
31,576529882645921803,Calculator#5340,
32,297550265299763212,scratchysaurus#3379,Andy
33,797287231713837066,Kcarts#8804,
34,1026292596789747793,Scoredle#0442,
35,715621848489918495,Astro#6712,
36,340940380927295491,svendiamond#3476,Matt
37,705194973158572163,Anthony M#8081,
38,124366664895692800,BaronPumpky#9837,
39,301137358101807105,cryingprincess#6223,
40,95332114093838336,Panda#8026,Evan
41,616754792965865495,sesh#1244,
42,268547439714238465,Scryfall#0970,
43,158004456393277440,CountryMac#0836,
44,549395004569812994,TJTank#3739,TJ Tank
45,676043919246753822,sarahsalley951#3840,
46,392005946651443201,denied310#5806,Nick
47,487577343079088128,SeussMan#7531,Bergs
48,124367114122297344,TuckleTheKnuckle#4750,
49,275499576192925697,Samanthars27#4066,
50,163105110984097792,justyn7#9697,
51,365150878811815936,DeathKnightCador#3991,Kyle
52,663515739613036575,S.H.I.E.L.D. Bot#3124,
53,437618149505105920,EasyPoll#3712,
54,608419456221315167,mbbananas#0653,
55,972117530887983104,mossy_turtleneck#8935,
56,912370280779903037,SouthernRoots17#0160,
57,333299431556513793,jeskaeli#7316,
58,698361691729035316,Maus#0266,
59,766386304182124565,liberal chimp lady#3835,
