youtube_url,youtube_title,added_by
https://youtu.be/x8Ru8d0l_fU,Madvillain - Meat Grinder - Madvillainy (Full Album),SeussMan
https://youtu.be/GZgFNk9eI30,Curren$y & Jermaine Dupri - Fortune 500 (Official Audio),svendiamond
https://youtu.be/8D5iyKXZcUQ,Blackalicious- Alphabet Aerobics Lyrics,SeussMan
https://www.youtube.com/watch?v=9aTohvMsgWU,Drugs,svendiamond
https://youtu.be/z63cQKWlDgQ,Canibus - Second Round K.O.,SeussMan
https://youtu.be/YFSEtALpXAA,Do You Like Criminals?,svendiamond
https://youtu.be/-T44yl-LMSU,Ice Cube - Down for Whatever (DIRTY),svendiamond
https://youtu.be/CfO7qUiOt4Q,Kool G Rap & DJ Polo - Ill Street Blues [Explicit],SeussMan
https://www.youtube.com/watch?v=Q6XbadJ2TjQ&list=PLwKvU0hr9PH-YN_WhRvV5e9toyX2TJgZE,S.A.S Feat. Juelz Santana - In Da Army Now,svendiamond
https://youtu.be/anRkutaPS9w,Earl Sweatshirt - WHOA,SeussMan
https://youtu.be/GRblYfKwa88,Ol' Dirty Bastard - Brooklyn Zoo (Official Video) [Explicit],svendiamond
https://youtu.be/XhzpxjuwZy0,House of Pain - Jump Around (Official Music Video),svendiamond
https://youtu.be/TMRbDF-Ea8M,Cypress Hill - Throw Your Set In The Air (Official Video),SeussMan
https://youtu.be/rNtiEcT9W6M,Afroman - Colt 45,svendiamond
https://www.youtube.com/watch?v=FdrossKXGb4&list=PLwwEII6--gqdSPpbEx6qjjgCg8k7R7tod&index=1,Blackalicious - Blazing Arrow,SeussMan
https://youtu.be/SApmSrHDhQo,"Papoose - ""Alphabetical Slaughter""",svendiamond
https://youtu.be/pfblnrUjysI,"Styles, Pharoahe Monch - The Life",SeussMan
https://youtu.be/mNaMR8AyeWc,Nelly - E.I. (Official Music Video),svendiamond
https://youtu.be/NLKeexec5Tg,Tame One - Anxiety Attacks (Official) :: Amalgam Digital,SeussMan
https://youtu.be/X_oZ5pIuGrI,Mobb Deep- Extortion,svendiamond
https://youtu.be/Z-48u_uWMHY,Kendrick Lamar - Alright (Official Music Video),SeussMan
https://youtu.be/pwQkXcWKH_c,I Get Physical,svendiamond
https://youtu.be/bCJVMzt3EtE,Chino XL Here To Save You All 02 Deliver,SeussMan
https://youtu.be/PoD6YRzofZk,Atmosphere Guns and Cigarettes,svendiamond
https://youtu.be/wBd9CNuRlv4,Prince Paul - Pain,SeussMan
https://youtu.be/Si186d57Ra4,Redman - I'll Bee Dat,svendiamond
https://youtu.be/K8cb_j5Joi8,Proof - Biboa's Theme,SeussMan
https://www.youtube.com/watch?v=7PbQfRYcXaE&list=PL-UWPlRIl68rqx6qXofdhtOBm4jzfMAQD,The Game - Neighborhood Supa Starz,svendiamond
https://youtu.be/g100MKnL4jg,Dreams,SeussMan
https://youtu.be/mAPpy0zXc1o,Warrior Part 2,svendiamond
https://youtu.be/gSJeHDlhYls,Madvillain - All Caps,SeussMan
https://youtu.be/f-YF924NWFg,Dynamite!,svendiamond
https://youtu.be/WvAqy1i2hEA,Camp Lo - Luchini AKA This Is It (Official HD Video),svendiamond
https://youtu.be/TvEhl8IBWVo,1Train,SeussMan
https://youtu.be/LDllENVj8Kk,If I Die 2Nite,svendiamond
https://youtu.be/hrrA_rXjliY,Wu-Tang Martial Expert (feat. The RZA),SeussMan
https://www.youtube.com/watch?v=jgh10of6DKA,"Raekwon - Ice Cream (Official HD Video) ft. Ghostface Killah, Method Man, Cappadonna",svendiamond
https://www.youtube.com/watch?v=X_JhD0HUGYQ,Ghostface Killah - One,SeussMan
https://www.youtube.com/watch?v=5qDhaWqeNMc,GZA - Shadowboxin' ft. Method Man,svendiamond
https://youtu.be/CwQSq5iZdpQ,Smif-N-Wessun - Bucktown (Original Video),svendiamond
https://youtu.be/9fzt4Mt8DmU,Smif-N-Wessun - Wrekonize,SeussMan
https://youtu.be/dceorz43MwY,Black Moon - I Got Cha Opin (Remix),svendiamond
https://youtu.be/sELf8mBystA,Company Flow - 8 Steps to Perfection,SeussMan
https://youtu.be/rlHeHUK8fFA,Immortal Technique - Diabolical,svendiamond
https://youtu.be/ey8T4pDmSQw,Heavenly Divine,SeussMan
